InNum,ProQANumber,CallDateTime,Timestamp,Address,AptLot,lng,lat,GridLoc,Disp,PDids,ExtNatureDisplayName,Report,PolArea,DOW,HourNum
2015143076,,8/10/15 22:39,1439264348,2001 BROADWAY E-CO,2,-92.30665,38.94894,29182A,2,200,911 CHECKS,,80NP,Monday,22
2015143073,,8/10/15 22:35,1439264150,121 TENTH ST S-CO,,-92.32676,38.94987,28124S,2,200,CHECK SUBJECT,,70D,Monday,22
2015143072,,8/10/15 22:34,1439264043,BROADWAY E-CO/OLD 63 N-CO,,-92.3105,38.9494,29182A,10,200,TRAFFIC STOP,,70,Monday,22
2015143071,,8/10/15 22:34,1439264041,702 WILKES BLVD-CO,,-92.32905,38.9602,28122P,2,200,SUSPICIOUS VEHICLE,,20E,Monday,22
2015143074,P41632,8/10/15 22:33,1439264036,1201 GRINDSTONE PKWY-CO,A,-92.32405,38.91312,29303A,2,200,DISTURBANCE,,60E,Monday,22
2015143075,P41631,8/10/15 22:33,1439263991,4606 RICE RD-CO,,-92.26721,38.97298,29042A,1,200,BURGLARY,2015-008830,40E,Monday,22
2015143068,,8/10/15 22:25,1439263500,FOREST AV W-CO/GARTH AV N-CO,,-92.3387,38.9633,28121P,2,200,ASSIST CITIZEN,,20W,Monday,22
2015143060,,8/10/15 22:09,1439262593,I70 E-CO/LAKE OF THE WOODS EXIT-CO,,-92.2532,38.96,29102W,7,200,TRAFFIC STOP,,40E,Monday,22
2015143063,,8/10/15 22:00,1439262046,200 BLK PROVIDENCE RD N-CO,,-92.33414,38.954167,28124P,2,200,911 CHECKS,,20E,Monday,22
2015143057,,8/10/15 22:00,1439262008,100 BLK FOREST AV W-CO,,-92.3398,38.9633,28121P,2,200,DISTURBANCE,,20W,Monday,22
2015143064,P41625,8/10/15 21:38,1439260702,604 FOURTH ST N-CO,,-92.33271,38.9585,28122P,2,200,SUSPICIOUS INCIDENT,,20E,Monday,21
2015143159,P41624,8/10/15 21:37,1439260628,1411 RALEIGH DR-CO,,-92.31707,39.00124,24301B,2,200,LARCENY,,30N,Monday,21
2015143048,P41623,8/10/15 21:35,1439260519,2400 BERNADETTE DR-CO,A,-92.37769,38.96419,28101A,2,200,SUSPICIOUS PERSON,,10W,Monday,21
2015143043,,8/10/15 21:34,1439260496,HIGHWAY 63 N NB-CO/ROUTE B-CO,,-92.2858,38.9883,24322A,2,200,STALLED VEHICLE,,40W,Monday,21
2015143044,,8/10/15 21:33,1439260387,2808 BLACKFOOT RD-CO,18,-92.36872,38.98455,23344A,2,200,DISTURBANCE,,10W,Monday,21
2015143041,,8/10/15 21:30,1439260200,SMILEY LN-CO/DERBY RIDGE DR-CO,,-92.3174,38.993,24303A,2,200,911 CHECKS,,30N,Monday,21
2015143037,P41622,8/10/15 21:21,1439259675,1509 BODIE DR-CO,,0,0,24301B,9,200,DISTURBANCE,,30N,Monday,21
2015143035,,8/10/15 21:09,1439258997,1000 BLK CHARLES ST-CO,,-92.308831,38.961611,29072A,2,200,911 CHECKS,,80N,Monday,21
2015143045,P41621,8/10/15 21:08,1439258935,1405 BODIE DR-CO,,-92.31822,39.0061,24301B,2,200,VANDALISM,,30N,Monday,21
2015143031,P41619,8/10/15 21:07,1439258843,3402 I70 DR SOUTHEAST-CO,331,-92.28674,38.9608,29082A,2,200,PEACE DISTURBANCE,,80N,Monday,21
2015143030,P41618,8/10/15 21:05,1439258715,1302 WAR ADMIRAL DR-CO,,-92.32027,38.98646,24311A,1,200,ASSAULT,2015-008829,30S,Monday,21
2015143022,,8/10/15 20:49,1439257798,104 CLINKSCALES RD-CO,412,-92.36135,38.95544,28113Q,2,200,911 CHECKS,,50E,Monday,20
2015143021,P41617,8/10/15 20:49,1439257778,1409 ASHLEY ST-CO,,-92.31883,38.96772,29063Q,12,200,LAW ALARM,,30S,Monday,20
2015143019,P41614,8/10/15 20:41,1439257311,2013 CAROL DR-CO,,-92.26854,38.97205,29042A,2,200,TRESPASS SUBJECT,,40E,Monday,20
2015143016,,8/10/15 20:36,1439256971,RIA ST-CO/MCKEE ST-CO,,-92.2694,38.9657,29044A,2,200,CHECK SUBJECT,,40E,Monday,20
2015143015,,8/10/15 20:34,1439256852,HIGHWAY 63 S NB-CO/HIGHWAY AC-CO,,-92.2935,38.9129,29294A,10,200,TRAFFIC STOP,,80S,Monday,20
2015143013,P41612,8/10/15 20:26,1439256419,4501 NICK CT-CO,,-92.2691,38.96668,29044A,2,200,SUSPICIOUS PERSON,,40E,Monday,20
2015143010,,8/10/15 20:16,1439255766,1402 CINNAMON HILL LN-CO,,-92.29297,38.93407,29202A,2,200,CHECK OPEN BUSINESS,,80S,Monday,20
2015143011,P41611,8/10/15 20:14,1439255642,4905 MONITEAU CT-CO,,-92.26271,38.97446,29031A,2,200,LARCENY,,40E,Monday,20
2015143026,P41609,8/10/15 20:05,1439255132,801 FAIRVIEW AV-CO,,-92.32737,38.96164,28122P,2,200,MISCHIEF,,20E,Monday,20
2015143006,P41608,8/10/15 19:57,1439254674,1607 HICKAM DR-CO,,-92.27625,38.96766,29043A,3,200,LAW ALARM,,40E,Monday,19
2015143003,M78693,8/10/15 19:53,1439254418,1301 BUSINESS LOOP 70 E-CO,,-92.32096,38.96429,29063Q,2,200,CHECK SUBJECT,,30S,Monday,19
2015142999,P41606,8/10/15 19:52,1439254366,1705 MCKEE ST-CO,,-92.2696,38.96869,29044A,1,200,BURGLARY,2015-008828,40E,Monday,19
2015143023,P41605,8/10/15 19:51,1439254264,1400 BLK ASH ST W-CO,,-92.3598,38.9564,28113P,2,200,TRAFFIC,,50E,Monday,19
2015142998,P41604,8/10/15 19:45,1439253900,1310 I70 E-CO,,-92.2552,38.9601,29102W,2,200,TRAFFIC,,40E,Monday,19
2015142994,P41602,8/10/15 19:38,1439253509,1501 RIVA RIDGE CT-CO,,-92.31625,38.99595,24303A,2,200,TRESPASSING,,30N,Monday,19
2015142991,,8/10/15 19:22,1439252551,NIFONG BLVD E-CO/SANDMAN LN-CO,,-92.3332,38.9101,28254A,2,200,TRAFFIC STOP,,60E,Monday,19
2015142982,,8/10/15 19:06,1439251608,HIGHWAY 63 N NB-CO/HIGHWAY 63 CONNECTOR NB-CO,,-92.2925,38.954,29084A,2,200,TRAFFIC STOP,,80N,Monday,19
2015142988,P41600,8/10/15 19:06,1439251580,308 SCOTT BLVD-CO,B,-92.3988,38.95202,28161A,2,200,ANIMAL COMPLAINT,,50W,Monday,19
2015142983,,8/10/15 19:06,1439251572,1240 I70 E-CO,,-92.3802,38.9693,28082U,2,200,C&I DRIVING,,10W,Monday,19
2015142981,,8/10/15 19:04,1439251458,HIGHWAY 63 N NB-CO/BROADWAY E-CO,,-92.2935,38.9464,29172A,2,200,TRAFFIC OBSERVATION,,80N,Monday,19
2015142979,,8/10/15 19:00,1439251215,CITY,,-92.3305,38.9525,A,2,200,SPECIAL ASSIGNMENT,,,Monday,19
2015142977,,8/10/15 18:56,1439250970,HIGHWAY 63 CONNECTOR NB-CO/HIGHWAY 63 CONNECTOR SB-CO,,-92.2915,38.9668,29082A,10,200,TRAFFIC STOP,,80N,Monday,18
2015142976,,8/10/15 18:55,1439250912,HIGHWAY 63 S NB-CO/STADIUM BLVD E-CO,,-92.2948,38.9322,29201A,2,200,STALLED VEHICLE,,80S,Monday,18
2015142974,,8/10/15 18:50,1439250654,3500 BLK I70 DR SOUTHEAST-CO,,-92.2852,38.9613,29082A,2,200,911 CHECKS,,80N,Monday,18
2015142971,P41598,8/10/15 18:47,1439250423,WALNUT ST E-CO/COLLEGE AV N-CO,,-92.3217,38.9525,29073S,2,200,TRAFFIC,,70,Monday,18
2015142968,P41596,8/10/15 18:42,1439250163,3020 PARIS RD-CO,,-92.29148,38.98081,24324A,2,200,CHECK SUBJECT,,40W,Monday,18
2015142967,P41595,8/10/15 18:42,1439250163,2500 ANDY DR-CO,,-92.30499,38.97632,29062A,2,200,DISTURBANCE,,30S,Monday,18
2015142964,,8/10/15 18:41,1439250082,OLD HAWTHORNE SUBDIVISION,,-92.244892,38.929777,29231B,2,200,911 CHECKS,,80N,Monday,18
2015142963,P41593,8/10/15 18:36,1439249774,301 BROADWAY W-CO,,-92.34255,38.95165,28123R,12,200,LAW ALARM,,50E,Monday,18
2015142948,,8/10/15 18:14,1439248472,600 WALNUT ST E-CO,,-92.33047,38.95248,28124R,2,200,SPECIAL ASSIGNMENT,,70D,Monday,18
2015142954,P41592,8/10/15 18:04,1439247884,902 BROADWAY W-CO,,-92.35094,38.95166,28142P,12,200,LAW ALARM,,50E,Monday,18
2015142946,P41591,8/10/15 18:03,1439247820,201 CONLEY RD-CO,A,-92.29662,38.95327,29083A,2,200,PARKING VIOLATION,,80N,Monday,18
2015142945,,8/10/15 18:02,1439247767,4600 FORUM BLVD-CO,,-92.35527,38.90054,28353A,2,200,911 CHECKS,,60W,Monday,18
2015142923,,8/10/15 17:25,1439245507,800 BLK CHERRY ST-CO,,-92.3281,38.9505,28124R,2,200,911 CHECKS,,70D,Monday,17
2015142921,P41587,8/10/15 17:19,1439245167,2300 BERNADETTE DR-CO,CAFE,-92.37401,38.96407,28101A,2,200,LARCENY,,10W,Monday,17
2015142929,P41586,8/10/15 17:18,1439245093,I70 W-CO/STADIUM BLVD N-CO,,-92.3711,38.9683,28101V,2,200,LOCKOUT,,10W,Monday,17
2015142956,P41585,8/10/15 17:15,1439244900,2609 EASTWOOD DR-CO,124,-92.2982,38.9649,29053A,2,200,VANDALISM,,40W,Monday,17
2015142934,,8/10/15 17:12,1439244745,3601 BROADWAY W-CO,,-92.38906,38.95695,28161A,2,200,911 CHECKS,,50W,Monday,17
2015142924,P41584,8/10/15 17:12,1439244732,STADIUM BLVD W-CO/CARRIE FRANCKE DR-CO,,-92.3434,38.938,28144A,2,200,CHECK TRAFFIC LIGHTS,,60E,Monday,17
2015142917,P41583,8/10/15 17:09,1439244574,1300 BLK GODAS DR-CO,,-92.2557,38.9642,29101A,2,200,ABANDONED VEHICLE,,40E,Monday,17
2015142913,P41582,8/10/15 17:09,1439244544,126 PROVIDENCE RD S-CO,,-92.33378,38.94991,28124R,2,200,TRESPASSING,,50E,Monday,17
2015142910,,8/10/15 17:06,1439244408,404 BIG BEAR BLVD-CO,,-92.33258,38.97725,28012A,2,200,TRAFFIC STOP,,10E,Monday,17
2015142912,,8/10/15 17:00,1439244030,805 CHERRY ST-CO,,-92.32839,38.95081,28124R,9,200,CHECK SUBJECT,,70D,Monday,17
2015142937,,8/10/15 17:00,1439244010,1000 BLK OLD 63 N-CO,,0,0,29072A,2,200,911 CHECKS,,80N,Monday,17
2015142926,P41581,8/10/15 16:55,1439243706,1601 ANDRETTI CIR-CO,,-92.26205,38.93214,29221B,3,200,BURGLARY,,80N,Monday,16
2015142904,,8/10/15 16:54,1439243666,NORTHAMPTON DR-CO/PONDEROSA ST-CO,,-92.2996,38.9121,29293A,7,200,PARKING VIOLATION,,80S,Monday,16
2015142903,P41579,8/10/15 16:48,1439243339,OLD ROUTE 63 CONNECTOR-CO/GRINDSTONE PKWY-CO,,-92.304,38.9133,29304A,2,200,TRAFFIC,,60E,Monday,16
2015142895,P41578,8/10/15 16:39,1439242794,BUSINESS LOOP 70 E-CO/PROVIDENCE RD N-CO,,-92.3339,38.9647,28013S,2,200,TRAFFIC,,20E,Monday,16
2015142893,M78687,8/10/15 16:38,1439242736,6604 CHELAN DR-CO,,-92.37811,38.87812,33101B,3,200,ASSIST FIRE,,60W,Monday,16
2015142919,,8/10/15 16:35,1439242525,WASHINGTON AV-CO/PECAN ST-CO,,-92.3316,38.96,28122P,2,200,911 CHECKS,,20E,Monday,16
2015142894,P41577,8/10/15 16:34,1439242474,3 AMAZON DR-CO,,-92.33613,38.98711,23362A,2,200,SUSPICIOUS PERSON,,10E,Monday,16
2015142891,,8/10/15 16:29,1439242188,1722 PARIS RD-CO,,-92.31125,38.96283,29071P,2,200,911 CHECKS,,70,Monday,16
2015142886,,8/10/15 16:27,1439242022,600 WALNUT ST E-CO,,-92.33047,38.95248,28124R,2,200,CHECK BUILDING,,70D,Monday,16
2015142884,P41575,8/10/15 16:16,1439241382,4815 ORCHARD LN-CO,,-92.2634,38.97115,29031A,12,200,LAW ALARM,,40E,Monday,16
2015142883,,8/10/15 16:15,1439241309,600 WALNUT ST E-CO,,-92.33047,38.95248,28124R,2,200,RECOVER PROPERTY,2015-008824,70D,Monday,16
2015142882,P41574,8/10/15 16:11,1439241070,600 CLAUDELL LN-CO,201,-92.36457,38.96154,28102A,2,200,KEEP THE PEACE,,10W,Monday,16
2015142947,P41573,8/10/15 16:10,1439241007,CITY,,-92.3305,38.9525,A,2,200,KEEP THE PEACE,,,Monday,16
2015142877,,8/10/15 16:10,1439241005,600 WALNUT ST E-CO,,-92.33047,38.95248,28124R,2,200,ASSIST CITIZEN,,70D,Monday,16
2015142876,P41572,8/10/15 16:08,1439240905,4812 ORCHARD LN-CO,,-92.2637,38.97074,29031A,1,200,BURGLARY,2015-008825,40E,Monday,16
2015142896,,8/10/15 16:02,1439240574,1501 VANDIVER DR-CO,249,-92.31355,38.97181,29061Q,2,200,911 CHECKS,,30S,Monday,16
2015142928,P41571,8/10/15 15:45,1439239534,3334 BROWN STATION RD-CO,,-92.29291,38.98467,24323A,2,200,SUSPICIOUS PERSON,,30S,Monday,15
2015142855,,8/10/15 15:41,1439239319,3110 CLARK LN-CO,,-92.29079,38.96329,29082A,2,200,WARRANT,,40W,Monday,15
2015142854,,8/10/15 15:39,1439239172,2201 WORLEY ST W-CO,,-92.37293,38.96308,28101A,2,200,LARCENY,,10W,Monday,15
2015142850,M78684,8/10/15 15:34,1439238847,700 GARTH AV N-CO,701,-92.33842,38.9596,28121P,2,200,ASSIST FIRE,,20W,Monday,15
2015142849,,8/10/15 15:33,1439238830,SCOTT BLVD S-CO/COPPERSTONE CREEK DR-CO,,-92.4004,38.906,28331B,2,200,TRAFFIC OBSERVATION,,60W,Monday,15
2015142852,P41569,8/10/15 15:31,1439238675,706 BROADWAY E-CO,,-92.32923,38.95137,28124R,7,200,ACCIDENT,2015-008823,70D,Monday,15
2015142871,,8/10/15 15:27,1439238451,600 BLK NORWALK DR-CO,,-92.345,38.9772,28022A,2,200,911 CHECKS,,10E,Monday,15
2015142864,P41567,8/10/15 15:18,1439237913,126 PROVIDENCE RD S-CO,,-92.33378,38.94991,28124R,2,200,TRESPASSING,,50E,Monday,15
2015142900,P41566,8/10/15 15:13,1439237604,2300 BERNADETTE DR-CO,,-92.37416,38.96327,28101A,2,200,LARCENY,,10W,Monday,15
2015142863,,8/10/15 15:13,1439237597,511 MARY ST-CO,,-92.33719,38.95893,28121Q,2,200,HARASSMENT,,20E,Monday,15
2015142869,P41564,8/10/15 15:06,1439237212,3020 PARIS RD-CO,,-92.29148,38.98081,24324A,9,200,PARKING VIOLATION,,40W,Monday,15
2015142828,,8/10/15 15:02,1439236955,VAWTER SCHOOL RD W-BC/SPRING CREEK RD-BC,,-92.3899,38.9118,28284B,10,200,TRAFFIC STOP,,112,Monday,15
2015142870,,8/10/15 14:48,1439236082,1026 CLAUDELL LN-CO,105,-92.36581,38.96242,28102A,2,200,HARASSMENT,,10W,Monday,14
2015142860,P41561,8/10/15 14:46,1439235962,411 BURNING BUSH RD-CO,,-92.33041,39.0083,23252B,2,200,PARKING VIOLATION,,10E,Monday,14
2015142822,P41560,8/10/15 14:44,1439235865,3200 ALPINE DR-CO,,-92.28645,38.98354,24324A,2,200,BURGLARY,,40W,Monday,14
2015142875,P41559,8/10/15 14:43,1439235833,2306 WALTHER CT-CO,,-92.37518,38.94885,28151A,2,200,PEACE DISTURBANCE,,50W,Monday,14
2015142816,,8/10/15 14:42,1439235746,CITY,,-92.3305,38.9525,A,2,200,SPECIAL ASSIGNMENT,,,Monday,14
2015142844,,8/10/15 14:40,1439235634,KEENE ST N-CO/LANSING AV-CO,,-92.29,38.9555,29084A,4,200,911 CHECKS,,80N,Monday,14
2015142853,P41558,8/10/15 14:39,1439235585,111 WORLEY ST W-CO,,-92.33964,38.95828,28121P,2,200,DISTURBANCE,,20W,Monday,14
2015143024,P41557,8/10/15 14:31,1439235119,3601 BUTTONWOOD DR-CO,A,-92.33114,38.91065,28254A,2,200,LARCENY,,60E,Monday,14
2015142851,,8/10/15 14:30,1439235045,2708 BRISTOL LAKE DR-CO,,-92.29838,38.89277,29323B,4,200,911 CHECKS,,80S,Monday,14
2015142837,,8/10/15 14:23,1439234617,211 CORNERSTONE CT-CO,,-92.40027,38.95329,28172A,2,200,CIVIL MATTER,,50W,Monday,14
2015142810,P41556,8/10/15 14:10,1439233857,2608 FACE ROCK CT-CO,,-92.37835,38.93467,28221A,12,200,LAW ALARM,,50W,Monday,14
2015142790,P41555,8/10/15 14:09,1439233788,203 WALNUT ST E-CO,,-92.33482,38.95287,28123S,12,200,LAW ALARM,,50E,Monday,14
2015142845,P41554,8/10/15 14:04,1439233476,1812 VANDIVER DR-CO,A,-92.30984,38.97107,29062A,1,200,LARCENY,2015-008822,30S,Monday,14
2015142796,,8/10/15 13:54,1439232880,5605 BUTTON BUCK CIR-CO,,-92.2509,38.99224,24342A,2,200,911 CHECKS,,40E,Monday,13
2015142802,,8/10/15 13:49,1439232598,104 BROADWAY E-CO,,-92.33602,38.95139,28123S,2,200,911 CHECKS,,50E,Monday,13
2015142899,P41553,8/10/15 13:48,1439232514,1507 STONE ST-CO,,-92.32145,38.96686,29063Q,2,200,HARASSMENT,,30S,Monday,13
2015142801,,8/10/15 13:48,1439232503,1800 BLK AMMONETTE ST-CO,,-92.3111,38.9626,29072A,2,200,911 CHECKS,,70,Monday,13
2015142826,P41551,8/10/15 13:32,1439231536,3110 CLARK LN-CO,,-92.29079,38.96329,29082A,1,200,ACCIDENT,2015-008821,40W,Monday,13
2015142807,P41550,8/10/15 13:30,1439231427,3301 CLARK LN-CO,,-92.2889,38.96423,29082A,1,200,FORGERY,2015-008820,40W,Monday,13
2015142800,,8/10/15 13:27,1439231247,17 TENTH ST N-CO,,-92.32661,38.95216,28124Q,2,200,911 CHECKS,,70D,Monday,13
2015142799,,8/10/15 13:12,1439230359,4303 PROVIDENCE RD S-CO,,-92.33708,38.90182,28362A,2,200,911 CHECKS,,60E,Monday,13
2015142866,P41549,8/10/15 13:11,1439230310,504 JACKSON ST-CO,,-92.34454,38.96316,28112P,2,200,VANDALISM,,20W,Monday,13
2015142798,,8/10/15 13:08,1439230091,604 NORWALK DR-CO,,-92.3444,38.97698,28022A,2,200,911 CHECKS,,10E,Monday,13
2015142804,P41548,8/10/15 13:06,1439230013,1636 HIGH QUEST CIR-CO,,-92.31526,38.99916,24303A,2,200,HARASSMENT,,30N,Monday,13
2015142824,P41545,8/10/15 13:00,1439229648,I70 DR SOUTHWEST-CO/BEVERLY DR-CO,,-92.3677,38.9668,28102A,2,200,ACCIDENT,,10W,Monday,13
2015142754,P41544,8/10/15 13:00,1439229640,I70 DR SOUTHWEST-CO/BEVERLY DR-CO,,-92.3677,38.9668,28102A,2,200,ACCIDENT,,10W,Monday,13
2015142787,,8/10/15 12:48,1439228903,RANGE LINE ST-CO/BIG BEAR BLVD-CO,,-92.3264,38.9771,28012A,2,200,LARCENY,,30S,Monday,12
2015142750,,8/10/15 12:41,1439228488,2116 VANDIVER DR-CO,LOT,-92.30481,38.97171,29062A,2,200,DISTURBANCE,,30S,Monday,12
2015142748,P41542,8/10/15 12:36,1439228194,WORLEY ST E-CO/LASALLE PL-CO,,-92.3364,38.9577,28123Q,8,200,ACCIDENT,,20W,Monday,12
2015142738,P41541,8/10/15 12:32,1439227922,10 PHYLLIS AV E-CO,,-92.33769,38.97291,28011Q,12,200,LAW ALARM,,10E,Monday,12
2015142805,P41540,8/10/15 12:30,1439227824,1282 I70 E-CO,,-92.3058,38.9664,29064U,2,200,TRAFFIC,,40W,Monday,12
2015142742,,8/10/15 12:27,1439227662,2541 BROADWAY BLUFFS DR-CO,,-92.29954,38.94867,29171A,2,200,RECOVER PROPERTY,,80N,Monday,12
2015142735,,8/10/15 12:24,1439227477,GRANT CT-CO/GRANT LN-CO,,-92.3905,38.9274,28214A,2,200,PARKING VIOLATION,,50W,Monday,12
2015142730,,8/10/15 12:16,1439226970,3100 I70 DR SOUTHEAST-CO,,-92.28981,38.96056,29082A,2,200,911 CHECKS,,80N,Monday,12
2015142747,,8/10/15 12:10,1439226642,1312 PARKRIDGE DR-CO,,-92.37092,38.93754,28222A,2,200,911 CHECKS,,50W,Monday,12
2015142728,P41538,8/10/15 12:09,1439226559,RANGE LINE ST-CO/I70 E-CO,,-92.33227,38.96538,28014P,2,200,ACCIDENT,,30S,Monday,12
2015142737,P41537,8/10/15 12:08,1439226518,RANGE LINE ST-CO/I70 W-CO,,-92.325,38.9687,28014P,8,200,ACCIDENT,,10E,Monday,12
2015142744,,8/10/15 12:07,1439226479,1307 JEAN RAE DR-CO,,-92.35805,38.96235,28111A,1,200,FRAUD,2015-008819,20W,Monday,12
2015142723,P41536,8/10/15 12:00,1439226019,ROCK QUARRY RD-CO/STAGS WY-CO,,-92.3171,38.9211,29193A,9,200,CHECK THE WELFARE,,80S,Monday,12
2015142722,P41535,8/10/15 11:58,1439225920,2300 BERNADETTE DR-CO,100,-92.37333,38.96356,28101A,2,200,HARASSMENT,,10W,Monday,11
2015142719,,8/10/15 11:56,1439225816,1611 TOWNE DR-CO,,-92.30462,38.96933,29064A,1,200,HARASSMENT,2015-008818,40W,Monday,11
2015142714,,8/10/15 11:47,1439225259,600 BLK HUNT AV,,0,0,28111A,2,200,SPECIAL ASSIGNMENT,,20W,Monday,11
2015142734,P41534,8/10/15 11:40,1439224849,821 WORLEY ST W-CO,,-92.35106,38.95946,28112Q,1,200,FRAUD,2015-008817,20W,Monday,11
2015142709,,8/10/15 11:39,1439224799,250 APPLE TREE CT-CO,,-92.34727,38.8988,28354A,7,200,TRESPASS VEHICLE,,60W,Monday,11
2015142708,,8/10/15 11:39,1439224776,STADIUM BLVD N-CO/BERNADETTE DR-CO,,-92.3712,38.9653,28102A,2,200,TRAFFIC CONTROL,,10W,Monday,11
2015142706,,8/10/15 11:36,1439224576,COLONY DR-CO/FORUM BLVD-CO,,-92.3651,38.9242,28224A,2,200,TRAFFIC STOP,,50W,Monday,11
2015142704,,8/10/15 11:28,1439224103,BERNADETTE DR-CO/STADIUM BLVD N-CO,,-92.3712,38.9653,28101A,2,200,ACCIDENT,,10W,Monday,11
2015142700,,8/10/15 11:23,1439223793,BERNADETTE DR-CO/STADIUM BLVD N-CO,,-92.3712,38.9653,28101A,2,200,STALLED VEHICLE,,10W,Monday,11
2015142698,,8/10/15 11:11,1439223091,614 STEWART RD W-CO,,-92.347,38.94748,28142P,1,200,FRAUD,2015-008816,50E,Monday,11
2015142694,,8/10/15 11:05,1439222703,STALCUP ST-CO/DEAD END-CO,,0,0,28161A,2,200,911 CHECKS,,50W,Monday,11
2015142758,,8/10/15 11:02,1439222559,1607 BOLD RULER CT-CO,,-92.31531,39.00035,24303A,2,200,CIVIL MATTER,,30N,Monday,11
2015142689,,8/10/15 10:58,1439222318,1225 FELLOWS PL-CO,,-92.32524,38.93411,29191A,2,200,911 CHECKS,,80S,Monday,10
2015142682,,8/10/15 10:57,1439222275,600 WALNUT ST E-CO,,-92.33047,38.95248,28124R,2,200,SPECIAL ASSIGNMENT,,70D,Monday,10
2015142680,,8/10/15 10:53,1439222004,3300 FALLING LEAF LN-CO,,-92.29506,38.91361,29291A,2,200,CHECK OPEN BUSINESS,,80S,Monday,10
2015142675,,8/10/15 10:43,1439221438,CITY,,-92.3305,38.9525,A,2,200,FUNERAL ESCORT,,,Monday,10
2015142686,,8/10/15 10:40,1439221255,STALCUP ST-CO/DEAD END-CO,,0,0,28161A,2,200,911 CHECKS,,50W,Monday,10
2015142674,,8/10/15 10:40,1439221240,FOURTH ST N-CO/BROADWAY E-CO,,-92.333,38.9517,28124R,2,200,TRAFFIC STOP,,70D,Monday,10
2015142683,,8/10/15 10:39,1439221155,308 NINTH ST S-CO,,-92.32712,38.94775,28132Q,4,200,911 CHECKS,,70D,Monday,10
2015142671,P41531,8/10/15 10:34,1439220864,VANDIVER DR-CO/RANGE LINE ST-CO,,-92.3257,38.971,28012A,8,200,ACCIDENT,,10E,Monday,10
2015142668,P41530,8/10/15 10:30,1439220625,1002 MADISON ST-CO,,-92.34384,38.96295,28112P,2,200,SUSPICIOUS VEHICLE,,20W,Monday,10
2015142692,P41528,8/10/15 10:27,1439220475,212 WAUGH ST-CO,,-92.32316,38.94854,29181Q,2,200,SUSPICIOUS PERSON,,70P,Monday,10
2015142659,P41527,8/10/15 10:08,1439219310,200 THIRD AV-CO,,-92.3352,38.96194,28121Q,2,200,HARASSMENT,,20E,Monday,10
2015142676,,8/10/15 9:58,1439218707,106 ANN ST S-CO,A,-92.31419,38.94902,29181P,2,200,911 CHECKS,,70,Monday,9
2015142657,P41525,8/10/15 9:57,1439218638,300 ST JOSEPH ST-CO,,-92.32255,38.95456,29073P,7,200,SUSPICIOUS VEHICLE,,20E,Monday,9
2015142642,P41521,8/10/15 9:37,1439217437,306 CROWN POINT-CO,,-92.35895,38.94925,28141A,2,200,FRAUD,,50E,Monday,9
